Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AVENIDA 28,TERPEL,AVENIDA 28 No. 39B-67,BIODIESEL EXTRA,9170,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TEXACO SANTA MARIA DE LA BOYACA,TEXACO,CARRERA 17 No. 69B-69 SUR,GASOLINA CORRIENTE OXIGENADA,9369,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TEXACO SANTA MARIA DE LA BOYACA,TEXACO,CARRERA 17 No. 69B-69 SUR,BIODIESEL EXTRA,9152,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TEXACO SANTA MARIA DE LA BOYACA,TEXACO,CARRERA 17 No. 69B-69 SUR,GASOLINA EXTRA OXIGENADA,16390,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL JAVERIANA,TERPEL,CARRERA 7 Nº 39 - 45,GASOLINA EXTRA OXIGENADA,16290,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL JAVERIANA,TERPEL,CARRERA 7 Nº 39 - 45,BIODIESEL EXTRA,8680,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL JAVERIANA,TERPEL,CARRERA 7 Nº 39 - 45,GASOLINA CORRIENTE OXIGENADA,8780,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EXITO SUBA,MOBIL,AVENIDA CARRERA 104 No. 145 -15,BIODIESEL EXTRA,8990,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EXITO SUBA,MOBIL,AVENIDA CARRERA 104 No. 145 -15,GASOLINA CORRIENTE OXIGENADA,9170,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO MATATIGRES,TERPEL,DIAGONAL 39A SUR No. 39-50,GASOLINA CORRIENTE OXIGENADA,8680,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO MATATIGRES,TERPEL,DIAGONAL 39A SUR No. 39-50,GASOLINA EXTRA OXIGENADA,16330,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO MATATIGRES,TERPEL,DIAGONAL 39A SUR No. 39-50,BIODIESEL EXTRA,8560,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL LA 49 NORMANDIA,TERPEL,CARRERA 72 No.  49-38-48,GASOLINA CORRIENTE OXIGENADA,8840,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL LA 49 NORMANDIA,TERPEL,CARRERA 72 No.  49-38-48,GASOLINA CORRIENTE OXIGENADA,8840,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL LA 49 NORMANDIA,TERPEL,CARRERA 72 No.  49-38-48,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL LA 49 NORMANDIA,TERPEL,CARRERA 72 No.  49-38-48,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL LA 49 NORMANDIA,TERPEL,CARRERA 72 No.  49-38-48,GASOLINA EXTRA OXIGENADA,16340,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL LA 49 NORMANDIA,TERPEL,CARRERA 72 No.  49-38-48,GASOLINA EXTRA OXIGENADA,16340,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LA CONEJERA,TERPEL,CARRERA 98A No. 140B-60,GASOLINA CORRIENTE OXIGENADA,8740,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LA CONEJERA,TERPEL,CARRERA 98A No. 140B-60,GASOLINA EXTRA OXIGENADA,16330,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LA CONEJERA,TERPEL,CARRERA 98A No. 140B-60,BIODIESEL EXTRA,8540,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL MOTOMART,TERPEL,AVENIDA CARRERA 45 No. 242-34,GASOLINA EXTRA OXIGENADA,15850,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL MOTOMART,TERPEL,AVENIDA CARRERA 45 No. 242-34,GASOLINA CORRIENTE OXIGENADA,8990,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL MOTOMART,TERPEL,AVENIDA CARRERA 45 No. 242-34,BIODIESEL EXTRA,8740,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL EL GANADERO,TERPEL,CALLE 71 BIS SUR No. 17-88,GASOLINA EXTRA OXIGENADA,16050,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL EL GANADERO,TERPEL,CALLE 71 BIS SUR No. 17-88,GASOLINA CORRIENTE OXIGENADA,8940,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL EL GANADERO,TERPEL,CALLE 71 BIS SUR No. 17-88,BIODIESEL EXTRA,8730,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL VILLA CLAUDIA,TERPEL,AVENIDA CARRERA 68 No. 14-21 SUR,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL VILLA CLAUDIA,TERPEL,AVENIDA CARRERA 68 No. 14-21 SUR,GASOLINA CORRIENTE OXIGENADA,8760,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL VILLA CLAUDIA,TERPEL,AVENIDA CARRERA 68 No. 14-21 SUR,GASOLINA EXTRA OXIGENADA,16330,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LAS VILLAS,TERPEL,CALLE 129 No. 57 B - 94,GASOLINA EXTRA OXIGENADA,16490,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LAS VILLAS,TERPEL,CALLE 129 No. 57 B - 94,GASOLINA CORRIENTE OXIGENADA,9390,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LAS VILLAS,TERPEL,CALLE 129 No. 57 B - 94,BIODIESEL EXTRA,9190,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL AVENIDA BOYACA,TERPEL,AVENIDA CARRERA 72 No. 77A-15,GASOLINA EXTRA OXIGENADA,16250,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL AVENIDA BOYACA,TERPEL,AVENIDA CARRERA 72 No. 77A-15,GASOLINA CORRIENTE OXIGENADA,9090,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL AVENIDA BOYACA,TERPEL,AVENIDA CARRERA 72 No. 77A-15,BIODIESEL EXTRA,8840,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LA JUANA,TERPEL,AVENIDA CARRERA 7 No. 155-99,GASOLINA CORRIENTE OXIGENADA,8960,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LA JUANA,TERPEL,AVENIDA CARRERA 7 No. 155-99,BIODIESEL EXTRA,8840,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL LA JUANA,TERPEL,AVENIDA CARRERA 7 No. 155-99,GASOLINA EXTRA OXIGENADA,16290,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL CENTRO BOGOTA,TERPEL,CARRERA 13 No.  16A-11,GASOLINA EXTRA OXIGENADA,16300,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL CENTRO BOGOTA,TERPEL,CARRERA 13 No.  16A-11,BIODIESEL EXTRA,8980,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL CENTRO BOGOTA,TERPEL,CARRERA 13 No.  16A-11,GASOLINA CORRIENTE OXIGENADA,8820,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION SANTA MARTA DEL SUR,MOBIL,AVENIDA CARRERA 1 No. 69A-10 SUR,BIODIESEL EXTRA,8894,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION SANTA MARTA DEL SUR,MOBIL,AVENIDA CARRERA 1 No. 69A-10 SUR,GASOLINA CORRIENTE OXIGENADA,9116,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO LURIGER GAITAN,ESSO,TRANSVERSAL 56A No. 78-70,GASOLINA CORRIENTE OXIGENADA,9372,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO LURIGER GAITAN,ESSO,TRANSVERSAL 56A No. 78-70,BIODIESEL EXTRA,9152,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX 7 DE AGOSTO,BIOMAX,AVENIDA CALLE 68 No. 19-84,BIODIESEL EXTRA,9165,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX 7 DE AGOSTO,BIOMAX,AVENIDA CALLE 68 No. 19-84,GASOLINA CORRIENTE OXIGENADA,9105,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO LA HERRADURA,TERPEL,TRANSVERSAL 6B ESTE 40A 35 SUR,GASOLINA CORRIENTE OXIGENADA,9189,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO LA HERRADURA,TERPEL,TRANSVERSAL 6B ESTE 40A 35 SUR,BIODIESEL EXTRA,9019,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,COMBUSTIBLES Y LUBRICANTES EL PORTAL DE ALAMOS,TERPEL,Carrera 98 No.63-39,GASOLINA CORRIENTE OXIGENADA,9069,A
