Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO UNION SAN FRANCISCO,TEXACO,CARRERA 19D No. 64-80 SUR,GASOLINA CORRIENTE OXIGENADA,9372,A,CARRERA 19D No. 64-80 SUR,"CARRERA 19D No. 64-80 SUR, Bogota  d.c., Colombia","(4.5612195, -74.1455736)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO UNION SAN FRANCISCO,TEXACO,CARRERA 19D No. 64-80 SUR,BIODIESEL EXTRA,9152,A,CARRERA 19D No. 64-80 SUR,"CARRERA 19D No. 64-80 SUR, Bogota  d.c., Colombia","(4.5612195, -74.1455736)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN ANTONIO,TEXACO,CARRERA 16 No.  183 - 44,GASOLINA CORRIENTE OXIGENADA,9152,A,CARRERA 16 No.  183 - 44,"CARRERA 16 No.  183 - 44, Bogota  d.c., Colombia","(4.7605523, -74.0374409)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN ANTONIO,TEXACO,CARRERA 16 No.  183 - 44,BIODIESEL EXTRA,9372,A,CARRERA 16 No.  183 - 44,"CARRERA 16 No.  183 - 44, Bogota  d.c., Colombia","(4.7605523, -74.0374409)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO UNION SUBA CONEJERA,TEXACO,PARCELACION LA CONEJERA LT 15 KM 2,BIODIESEL EXTRA,9152,A,PARCELACION LA CONEJERA LT 15 KM 2,"PARCELACION LA CONEJERA LT 15 KM 2, Bogota  d.c., Colombia","(4.7619339, -74.1038081)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO UNION SUBA CONEJERA,TEXACO,PARCELACION LA CONEJERA LT 15 KM 2,GASOLINA CORRIENTE OXIGENADA,9372,A,PARCELACION LA CONEJERA LT 15 KM 2,"PARCELACION LA CONEJERA LT 15 KM 2, Bogota  d.c., Colombia","(4.7619339, -74.1038081)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,LUBRICANTES Y COMBUSTIBLES DEL ORIENTE LTDA,TEXACO,CALLE 46 SUR No.  24A-03,GASOLINA CORRIENTE OXIGENADA,8840,A,CALLE 46 SUR No.  24A-03,"CALLE 46 SUR No.  24A-03, Bogota  d.c., Colombia","(4.5787697, -74.127721)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,LUBRICANTES Y COMBUSTIBLES DEL ORIENTE LTDA,TEXACO,CALLE 46 SUR No.  24A-03,BIODIESEL EXTRA,8816,A,CALLE 46 SUR No.  24A-03,"CALLE 46 SUR No.  24A-03, Bogota  d.c., Colombia","(4.5787697, -74.127721)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO VENECIA,PETROMIL,CARRERA 53 No. 52B-11 SUR,BIODIESEL EXTRA,8792,A,CARRERA 53 No. 52B-11 SUR,"CARRERA 53 No. 52B-11 SUR, Bogota  d.c., Colombia","(4.6664974, -74.0777574)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO VENECIA,PETROMIL,CARRERA 53 No. 52B-11 SUR,GASOLINA CORRIENTE OXIGENADA,8766,A,CARRERA 53 No. 52B-11 SUR,"CARRERA 53 No. 52B-11 SUR, Bogota  d.c., Colombia","(4.6664974, -74.0777574)"
